R0, [Output]
R1, eIF4E_[unk]_ppi+_EIF4EBP1_[unk]
R2, eIF4E_[unk]_ppi-_EIF4EBP1_[unk]
R3, mTORC1_p+_EIF4EBP1_[(Ser65)]
R4, mTORC1_p+_EIF4EBP1_[(Thr37)]
R5, mTORC1_p+_EIF4EBP1_[(Thr46)]
R6, mTORC1_p+_EIF4EBP1_[(Thr70)]
S0, EIF4EBP1_[(Ser65)]-{0}
S1, EIF4EBP1_[(Ser65)]-{p}
S2, EIF4EBP1_[(Thr37)]-{0}
S3, EIF4EBP1_[(Thr37)]-{p}
S4, EIF4EBP1_[(Thr46)]-{0}
S5, EIF4EBP1_[(Thr46)]-{p}
S6, EIF4EBP1_[(Thr70)]-{0}
S7, EIF4EBP1_[(Thr70)]-{p}
S8, EIF4EBP1_[unk]--0
S9, EIF4EBP1_[unk]--eIF4E_[unk]
S10, [mTORC1]
S11, eIF4E_[unk]--0
S12, mTORC1
