R0, AKT2_[PI]_i+_PI_[PH]
R1, AKT2_[PI]_i-_PI_[PH]
R2, AKT2_p+_PPM1G_[(AKT2)]
R3, AKT2_p+_TSC2_[(Ser1130)]
R4, AKT2_p+_TSC2_[(Ser939)]
R5, AKT2_p+_TSC2_[(Ser981)]
R6, AKT2_p+_TSC2_[(Thr1462)]
R7, GTP_gef_RHEB_[(G)]
R8, INPP4B_p-_PI_[(4)]
R9, IRS_[pY]_ppi+_PI3K_[SH2]
R10, IRS_[pY]_ppi-_PI3K_[SH2]
R11, IR_p+_IRS_[(res)]
R12, IR_p-_IRS_[(res)]
R13, PDK1_p+_AKT2_[(T309)]
R14, PHLPP1_p-_AKT2_[(S474)]
R15, PI3K_p+_PI_[(3)]
R16, PI4K3alpha_p+_PI_[(4)]
R17, PIPK1alpha_p+_PI_[(5)]
R18, PIPP_p-_PI_[(5)]
R19, PP2A_p-_AKT2_[(T309)]
R20, PP5_p-_TSC2_[(Ser1130)]
R21, PP5_p-_TSC2_[(Ser939)]
R22, PP5_p-_TSC2_[(Ser981)]
R23, PP5_p-_TSC2_[(Thr1462)]
R24, PPM1G_p-_EIF4EBP1_[(Ser65)]
R25, PPM1G_p-_EIF4EBP1_[(Thr37)]
R26, PPM1G_p-_EIF4EBP1_[(Thr46)]
R27, PPM1G_p-_EIF4EBP1_[(Thr70)]
R28, PTEN_p-_PI_[(3)]
R29, RHEB_[switch1DSYDPTIEN]_ppi+_mTOR_[FATfα2fα3]
R30, RHEB_[switch1DSYDPTIEN]_ppi-_mTOR_[FATfα2fα3]
R31, RHEB_[switch1]_ppi+_mTOR_[Mheatmα2mα3mα4]
R32, RHEB_[switch1]_ppi-_mTOR_[Mheatmα2mα3mα4]
R33, RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi+_mTOR_[Nheatnα3tonα7]
R34, RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi-_mTOR_[Nheatnα3tonα7]
R35, Raptor_[TOS]_ppi+_S6K1_[TOS]
R36, S6K1_p+_IRS_[(hS307)]
R37, S6K1_p+_IRS_[(hS527)]
R38, SAC1M1L_p-_PI_[(4)]
R39, SYNJ2_p-_PI_[(5)]
R40, TSC1_[Cterminus]_ppi+_TSC2_[Nterminus]
R41, TSC1_[Cterminus]_ppi-_TSC2_[Nterminus]
R42, TSC2_gap_RHEB_[(G)]
R43, [Output]
R44, eIF4E_[A001]_ppi+_EIF4EBP1_[A001]
R45, eIF4E_[A001]_ppi+_eIF4G_[A002]
R46, eIF4E_[A001]_ppi-_EIF4EBP1_[A001]
R47, eIF4E_[A001]_ppi-_eIF4G_[A002]
R48, insulin_[IR]_ppi+_IR_[insulin]
R49, insulin_[IR]_ppi-_IR_[insulin]
R50, mTORC1_p+_EIF4EBP1_[(Ser65)]
R51, mTORC1_p+_EIF4EBP1_[(Thr37)]
R52, mTORC1_p+_EIF4EBP1_[(Thr46)]
R53, mTORC1_p+_EIF4EBP1_[(Thr70)]
R54, mTORC2_p+_AKT2_[(S474)]
R55, mTOR_[Raptor]_ppi+_Raptor_[mTOR]
R56, mTOR_p+_S6K1_[(T389)]
R57, unk_p-_PPM1G_[(AKT2)]
S0, AKT2_[(S474)]-{0}
S1, AKT2_[(S474)]-{p}
S2, AKT2_[(T309)]-{0}
S3, AKT2_[(T309)]-{p}
S4, AKT2_[PI]--0
S5, AKT2_[PI]--PI_[PH]
S6, EIF4EBP1_[(Ser65)]-{0}
S7, EIF4EBP1_[(Ser65)]-{p}
S8, EIF4EBP1_[(Thr37)]-{0}
S9, EIF4EBP1_[(Thr37)]-{p}
S10, EIF4EBP1_[(Thr46)]-{0}
S11, EIF4EBP1_[(Thr46)]-{p}
S12, EIF4EBP1_[(Thr70)]-{0}
S13, EIF4EBP1_[(Thr70)]-{p}
S14, EIF4EBP1_[A001]--0
S15, EIF4EBP1_[A001]--eIF4E_[A001]
S16, GTP
S17, INPP4B
S18, IRS_[(hS307)]-{0}
S19, IRS_[(hS307)]-{p}
S20, IRS_[(hS527)]-{0}
S21, IRS_[(hS527)]-{p}
S22, IRS_[(res)]-{0}
S23, IRS_[(res)]-{p}
S24, IRS_[pY]--0
S25, IRS_[pY]--PI3K_[SH2]
S26, IR_[insulin]--0
S27, IR_[insulin]--insulin_[IR]
S28, PDK1
S29, PHLPP1
S30, PI3K_[SH2]--0
S31, PI4K3alpha
S32, PIPK1alpha
S33, PIPP
S34, PI_[(3)]-{0}
S35, PI_[(3)]-{p}
S36, PI_[(4)]-{0}
S37, PI_[(4)]-{p}
S38, PI_[(5)]-{0}
S39, PI_[(5)]-{p}
S40, PI_[PH]--0
S41, PP2A
S42, PP5
S43, PPM1G_[(AKT2)]-{0}
S44, PPM1G_[(AKT2)]-{p}
S45, PTEN
S46, RHEB_[(G)]-{0}
S47, RHEB_[(G)]-{gtp}
S48, RHEB_[switch1DSYDPTIEN]--0
S49, RHEB_[switch1DSYDPTIEN]--mTOR_[FATfα2fα3]
S50, RHEB_[switch1]--0
S51, RHEB_[switch1]--mTOR_[Mheatmα2mα3mα4]
S52, RHEB_[switch2GQDEYSIFPQTYSIDIN]--0
S53, RHEB_[switch2GQDEYSIFPQTYSIDIN]--mTOR_[Nheatnα3tonα7]
S54, Raptor_[TOS]--0
S55, Raptor_[TOS]--S6K1_[TOS]
S56, Raptor_[mTOR]--0
S57, Raptor_[mTOR]--mTOR_[Raptor]
S58, S6K1_[(T389)]-{0}
S59, S6K1_[(T389)]-{p}
S60, S6K1_[TOS]--0
S61, SAC1M1L
S62, SYNJ2
S63, TSC1_[Cterminus]--0
S64, TSC1_[Cterminus]--TSC2_[Nterminus]
S65, TSC2_[(Ser1130)]-{0}
S66, TSC2_[(Ser1130)]-{p}
S67, TSC2_[(Ser939)]-{0}
S68, TSC2_[(Ser939)]-{p}
S69, TSC2_[(Ser981)]-{0}
